MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
1,3,0,3,16,8,20.627,0,NOT
3,4,0,3,57,4,55.022000000000006,0,NOT
3,1,1,1,48,7,44.354,0,NOT
3,2,1,8,35,8,44.620999999999995,0,NOT
3,1,0,8,10,9,20.367,0,NOT
1,3,1,10,40,7,53.69199999999999,0,NOT
2,4,0,8,97,10,97.619,1,BEST
3,4,0,9,17,10,30.334,0,NOT
1,1,1,7,87,5,87.52699999999999,1,BEST
3,2,0,5,99,9,92.604,1,NOT
1,1,1,7,71,3,73.72699999999999,1,BEST
2,1,0,3,36,2,35.074,0,NOT
1,2,0,9,89,1,90.532,1,BEST
3,2,0,6,30,1,34.635,0,NOT
1,1,1,9,75,3,80.131,1,BEST
3,2,1,8,47,8,54.857,0,NOT
2,2,1,6,39,4,45.278,0,NOT
3,2,0,8,16,4,25.913,0,NOT
3,3,0,10,12,4,26.301,0,NOT
1,3,0,1,62,7,56.797,0,NOT
2,3,1,7,53,3,59.448,0,NOT
1,3,1,7,60,3,65.96,0,NOT
1,4,0,8,20,1,31.795,0,NOT
2,1,1,2,2,7,7.1530000000000005,0,NOT
1,3,1,9,71,4,78.411,1,BEST
3,4,0,1,49,1,44.977999999999994,0,NOT
3,4,1,1,2,4,7.311999999999999,0,NOT
2,4,1,4,53,9,56.22399999999999,0,NOT
2,3,0,1,82,7,73.31599999999999,1,NOT
3,3,0,3,2,7,7.526999999999999,0,NOT
1,2,0,2,22,3,23.061,0,NOT
2,2,1,2,37,3,37.512,0,NOT
1,2,1,1,90,2,81.69,1,NOT
1,1,0,6,2,8,11.556999999999999,0,NOT
2,3,1,3,62,10,61.672999999999995,0,NOT
3,3,1,10,78,7,85.02399999999999,1,BEST
3,2,1,8,94,8,94.94800000000001,1,BEST
2,3,1,2,18,5,22.264999999999997,0,NOT
3,3,0,2,44,7,41.857,0,NOT
2,1,1,3,75,1,70.46199999999999,1,NOT
1,1,1,5,11,8,19.935,0,NOT
1,3,1,6,52,6,57.868,0,NOT
2,2,0,4,23,10,26.897000000000002,0,NOT
3,3,0,8,44,1,50.376999999999995,0,NOT
1,3,1,4,29,10,35.561,0,NOT
2,4,0,2,91,7,83.297,1,NOT
3,2,0,3,70,3,64.419,0,NOT
1,3,1,6,38,9,46.153999999999996,0,NOT
3,3,0,7,98,10,95.627,1,BEST
3,2,0,9,30,9,39.730999999999995,0,NOT
3,2,1,8,31,1,40.677,0,NOT
3,4,0,9,71,10,76.396,1,BEST
2,2,1,4,50,4,51.669,0,NOT
3,4,0,4,30,5,33.563,0,NOT
1,1,0,8,22,2,31.153,0,NOT
1,2,1,7,49,7,56.07299999999999,0,NOT
3,2,0,3,60,6,56.117000000000004,0,NOT
2,1,0,6,10,8,17.84,0,NOT
3,3,0,9,99,7,99.244,1,BEST
3,2,1,1,77,2,69.51899999999999,0,NOT
2,4,1,8,26,2,38.645,0,NOT
